,ID,text,result
0,02V56KMO,How to overcome bad feelings and emotions,Suicide
1,03BMGTOK,I feel like giving up in life ,Depression
2,03LZVFM6,I was so depressed feel like got no strength to continue,Depression
3,0EPULUM5,I feel so low especially since I had no one to talk to,Depression
4,0GM4C5GD, can i be successful when I am a drug addict?,Drugs
5,0IYM8BYT,"I am dissapointed,I need a sense of closure",Suicide
6,0JFJVD28,I lost hope,Depression
7,0OZGUFOF,I feel unloved and uncared for,Depression
8,0WP999ZX,What are factors that leads to addiction of alcohol,Alcohol
9,0ZA45Y5F,"Is the advice of drinking moderatly ,prudent?",Alcohol
10,13V2N1XF,How to limit myself from getting regular depression,Depression
11,16THDEEP,I needed to know whether the alcohol releases stress,Alcohol
12,1AU3C3HI, I was sad and did not want to go out,Depression
13,1D7TE9IY,Am I that ugly,Depression
14,1MHNW745,How should I avoid alcohol intake? what are the advantages of alcohol intake?,Alcohol
15,1TZY1GIP,I was pale and lost appetite,Depression
16,1ZTKVYXC,I am going through loss of a loved one…I am going through a breakup,Depression
17,22L09P4C,What are the effects of bhang?,Drugs
18,23C43VXB,Depressed due to the loss of a relative,Suicide
19,255YNCPV,"Why me?, why so?, why now?",Depression
20,25NGSGR3, feeling sad and lonely Now feeling contentment and ability to withstand depression,Depression
21,289054IS,Can I overcome depression?,Depression
22,28AM1F1Y,How would I quite alcoholism,Alcohol
23,2EC4OIPR,"Downplayed,self rejection",Depression
24,2FCIOIC1,What brings a person into commiting suicide,Suicide
25,2L8WA7A4,Does this make me feel any better?,Depression
26,2Q7GS1WB,"feel no one undestands,Now feel like family got me",Depression
27,2SFRZEYJ,How can someone overcome heartbreak?,Alcohol
28,2ZODHMOB,I feel very anxious,Depression
29,30F40YH4,What does someone do when dissapointed,Alcohol
30,36UOSKA4,"Family issues, my relationship and friends",Depression
31,370FVIAF,Is there a reason for living.,Drugs
32,3B7S1S6B, I have used all drugs all and I need help ,Depression
33,3H1OFXL7,I felt so unwanted and out of place but now I feel better and my self esteem is high,Depression
34,3NMNSYA4,I feel  less motivated and how can I be?,Depression
35,3PLATXLT,How can I limit myself from taking bhang?,Drugs
36,3SS0AHGQ,Where can i find money for school  fees without telling my father?,Depression
37,427XJQBB,I never seeked for any assistance but i feared it.,Drugs
38,44XZ10QC,Then I feel like breaking apart,Depression
39,4DL9UOQL,How to stop smoking bhang,Drugs
40,57VMVY5S,"Feel  like I want to be alone, like commiting suicide as a way of escaping shame, feel like moving away from the community …I feel a deep sense of hatred",Depression
41,5AP5IX9B,The feeling that I don't belong to this world and am of no use continuing to live ,Depression
42,5G7R1F52,how to quit alcohol?,Alcohol
43,5JK5HYM9, I feel issolated I am happy and well,Depression
44,5NEYXWJK,How to avoid alcohol,Alcohol
45,62MJYMB4,"I am Feeling bitter,unwanted and unloved",Depression
46,64MWIS95,How to deal with child support,Depression
47,6HICH3FC,How can I get away with depression?,Depression
48,6JTLBUO2,I am facing rejection,Depression
49,6LTXVB46,How do I overcome this financial problem? -How do I go about this depression to obtain the best solution,Suicide
50,6O5GQX0Z,What can i do to avoid the shame of failing my exams,Suicide
51,6T33I7B8,I feel betrayed,Depression
52,6TSGOG4R,"I feel like the world was against me,feel like I was bother to may family members",Depression
53,6UFUYHR7,I feel isolated from the reality of life,Depression
54,6V2783JI,Who produced alcohol?,Alcohol
55,6X7DK2U3,what can I do to avoid depression,Depression
56,728CHZ04,How can I maintain my peace of mind,Depression
57,72NC368J,Why do people commit suicide?,Suicide
58,74N1XY6J,How can I maintain my peace of mind,Depression
59,7BRH6PT9,How to stop consuming alcohol,Alcohol
60,7BURQ08H,How to stop taking alcohol,Alcohol
61,7CGD8W08,Does alcohol solve all your problems or its just to make you forget for a while,Alcohol
62,7ERDSQ4Q,I feel like I am in a strange world,Depression
63,7GV9GMHR,do I mean anything to anybody in this world?,Depression
64,7HYJWJTB,Who cares?,Depression
65,7IMGIR6F,How can I avoid myself from getting depressed thoughts?,Depression
66,7MFR419R,Would I get the solution or going to die,Suicide
67,7NDP01F0,"I feel suicidal , I have lost my parents",Depression
68,7U5FD20H,why do I have to go through this life?,Depression
69,82MKUDEC,"I feel dillusioned ,what is the remedy for depression",Depression
70,8B9ADEWI,Only experienced difficult times-emotion wise,Depression
71,8BFV4VOX,How to cope with challenges of life?,Depression
72,8P6YOLMS,what I can do to avoid bad friends and characters,Alcohol
73,8Q25BIL1,How to regulate myself from taking bhang?,Drugs
74,8SSR9UYN,I was in a cycle of feeling sad and hopeless,Depression
75,8YXQSEHH,"feel very bad,everything was going wrong",Depression
76,8Z4UTZVE, will i stop one day.,Drugs
77,96Q2X9PY,Why would I be the one to suffer?,Suicide
78,9CZ5DDHT,I feel guilty for wanting to abort my 2 year old child How do I deal with the trauma,Depression
79,9JW2PGV8,How do I deal with addiction,Alcohol
80,9L13GJIT,desserted and how can I overcome this,Alcohol
81,9OTMSDU9,My life has lost its meaning.,Depression
82,9VW7CPBV,How could I overcome such temptations,Suicide
83,9YVCQS7J,How can a person get out from drinking alcohol?,Alcohol
84,A08XVOJ9,"I impregnated a girl, should I let her abort?",Depression
85,A1QFJ71D,I was depressed when I got pregnant,Depression
86,A54FELHT,Is bhang harmful to my health? If I can stop taking bhang,Alcohol
87,A8F3BDON,When is the right age to consume alcohol,Alcohol
88,AFY1KE95,"Hopelessnesss,feeling like giving up",Depression
89,AHNC9LX3,Is it advisable for a depressed person to take drugs,Depression
90,AJ95VZJW,The issue of retake in university,Suicide
91,ANDTOXCS,When is the right time to smoke?,Alcohol
92,AYR375LB," The world crashing, bitterness, intense pain ",Depression
93,AYUG2VBI,i almost gave up in life includingmy education,Depression
94,BIAU48IL,What are the effects of bhang?,Drugs
95,BKOSUA7B,"Feelings of helplessness,insomnia,lack of motivationsuicidal ideas",Depression
96,BKZ07QBO,"How to overcome depression, the impacts of depression",Depression
97,BPHRVS1H,i feel  bad about myself,Depression
98,BQ3RI60R,Is there hope for me?,Drugs
99,BU07VJUX, stressed,Depression
100,BUUPSFJ1,What should I do to overcome depression?,Depression
101,BUXSYAXO,Is it good to terminate my life?,Alcohol
102,C41T92F7,Can weed cause head damage to its users?,Drugs
103,C8631YTB,Why does God allow bad things to happen?,Suicide
104,CCI1EP67,"I experienced a challenge of depression,it was bad",Depression
105,CL6VO0ZL,Frustrated did not who to trust or talk to,Depression
106,CMSUI7KZ,what's next after school?,Depression
107,CQ2F9IGN,"i feel horrible,still depressed",Depression
108,CR5KBERA,How to overcome the issue of using alcohol,Suicide
109,CVXS5L3C,What are the effects of bhang?,Drugs
110,CVZ52G5M,"I feel low,what should I do?",Depression
111,DCK8JTB2,I feel overwhelmed by life,Suicide
